Date,Region,Category,Product,Sales,Profit,Quantity,Customer_Segment
2024-11-23,West,Office Supplies,Notebook,6500,1300,88,Home Office
2024-11-26,North,Electronics,Headphones,28000,5600,19,Consumer
2024-11-29,South,Office Supplies,Stapler,3600,720,45,Corporate
2024-12-02,East,Electronics,Laptop,108000,21600,8,Home Office
2024-12-05,West,Furniture,Chair,17500,3500,12,Consumer
2024-12-08,North,Office Supplies,Pen Set,5500,1100,68,Corporate
2024-12-11,South,Electronics,Mobile Phone,68000,13600,15,Consumer
2024-12-14,East,Furniture,Desk,38000,7600,6,Home Office
2024-12-17,West,Electronics,Tablet,52000,10400,13,Consumer
2024-12-20,North,Furniture,Sofa,78000,15600,6,Corporate
2024-12-23,South,Office Supplies,Notebook,7200,1440,95,Consumer
2024-12-26,East,Electronics,Headphones,31000,6200,21,Consumer
2024-12-29,West,Office Supplies,Stapler,4000,800,50,Home Office
